"legal_status","species","site_order","site_info","caretaker","date","dbh","plot_size","latitude","longitude"
"DPW Maintained","Lophostemon confertus :: Brisbane Box",9,"Sidewalk: Curb side : Cutout","Private",2000-12-19,3,3,37.7496956666258,-122.387374870966
"DPW Maintained","Podocarpus gracilor :: Fern Pine",1,"Sidewalk: Curb side : Cutout","Private",2019-01-31,3,4,37.7948345125635,-122.429767061412
"DPW Maintained","Podocarpus macrophyllus :: Yew Pine",1,"Sidewalk: Curb side : Cutout","DPW",2009-02-20,3,3,37.7424213531218,-122.492040096469
"DPW Maintained","Lophostemon confertus :: Brisbane Box",2,"Sidewalk: Curb side : Cutout","DPW",1995-03-24,9,3,37.7616075289461,-122.388823529289
"DPW Maintained","Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry",2,"Sidewalk: Curb side : Cutout","Private",2009-11-01,3,3,37.7890965465282,-122.420635698799
"DPW Maintained","Olea europaea :: Olive Tree",1,"Sidewalk: Curb side : Cutout","DPW",2008-03-17,3,3,37.7732491650363,-122.484145327456
"DPW Maintained","Phoenix canariensis :: Canary Island Date Palm",5,"Median : Cutout","DPW",1993-04-01,36,10,37.7635127037236,-122.433969576289
"DPW Maintained","Aesculus x carnea :: Red Horse Chestnut",30,"Sidewalk: Curb side : Cutout","DPW",1990-03-13,6,3,37.7417075815435,-122.379759286875
"DPW Maintained","Platanus x hispanica 'Yarwood' :: Yarwood Sycamore",1,":","Private",2018-05-08,3,4,37.7694751030168,-122.422442472745
"DPW Maintained","Acer x freemanii :: Freeman Maple",1,"Sidewalk: Curb side : Cutout","Private",1996-03-14,3,2,37.7219792306681,-122.401352947061
"DPW Maintained","Platanus x hispanica :: Sycamore: London Plane",10,"Sidewalk: Curb side : Cutout","Private",2008-12-02,5,4,37.8054924509885,-122.422696015008
"DPW Maintained","Tristaniopsis laurina :: Swamp Myrtle",1,"Sidewalk: Curb side : Cutout","DPW",2007-01-18,3,3,37.7575430661012,-122.482000985871
"DPW Maintained","Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia",1,"Sidewalk: Curb side : Cutout","Private",2015-02-27,3,3,37.7294219655289,-122.424498316649
"DPW Maintained","Arbutus 'Marina' :: Hybrid Strawberry Tree",7,"Sidewalk: Curb side : Cutout","DPW",2006-03-18,3,3,37.7513670227591,-122.49691404116
"DPW Maintained","Eriobotrya deflexa :: Bronze Loquat",1,"Sidewalk: Curb side : Cutout","DPW",2014-05-14,6,3,37.7392281047953,-122.386261308815
"DPW Maintained","Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant'",9,"Sidewalk: Curb side : Cutout","SFUSD",2015-02-19,3,3,37.7785280252799,-122.492063820389
"DPW Maintained","Eriobotrya deflexa :: Bronze Loquat",1,"Sidewalk: Curb side : Cutout","Private",2018-09-26,3,0,37.7749592147956,-122.444664484942
"DPW Maintained","Acacia melanoxylon :: Blackwood Acacia",1,"Sidewalk: Curb side : Cutout","Private",1985-11-14,17,6,37.798958825936,-122.405282833437
"DPW Maintained","Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant'",7,"Sidewalk: Curb side : Cutout","DPW",2011-04-27,3,3,37.7230762793257,-122.441982968035
"DPW Maintained","Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry",1,"Sidewalk: Curb side : Cutout","DPW",2009-02-20,3,3,37.7648148143539,-122.466434253957
"DPW Maintained","Tree(s) ::",2,"Sidewalk: Curb side : Cutout","Private",2017-03-13,3,3,37.7524282324025,-122.408090976419
"DPW Maintained","Arbutus 'Marina' :: Hybrid Strawberry Tree",2,"Sidewalk: Curb side : Cutout","DPW",2008-02-11,3,3,37.7792262226622,-122.459638683737
